alias_name,alias_value
nossh,ssh -o UserKnownHostsFile=/dev/null -o StrictHostKeyChecking=no
ssh,ssh -Y
sshy,ssh -Y
ssy,ssh -Y
s,ssh -l root
sr,ssh -l root
ssr,ssh -l root
ssh,ssh -o StrictHostKeyChecking=no -o UserKnownHostsFile=/dev/null
sssh,ssh -o StrictHostKeyChecking=no -o UserKnownHostsFile=/dev/null
sshi,ssh -o StrictHostKeyChecking=no -o UserKnownHostsFile=/dev/null
ptt,ssh bbsu@ptt.cc
ptt1,ssh bbsu@ptt.cc
sshPTT,ssh bbsu@ptt.cc
sshpw,ssh -o PreferredAuthentications=password -o PubkeyAuthentication=no
sshpass,ssh -o PreferredAuthentications=password -o PubkeyAuthentication=no
sshp,ssh -o PreferredAuthentications=password -o PubkeyAuthentication=no
vm,ssh vagrant@127.0.0.1 -p 2222
vssh,ssh vagrant@127.0.0.1 -p 2222
vs,ssh vagrant@127.0.0.1 -p 2222
egrep,egrep --color=auto
grep,egrep --color=auto
G,egrep --color=auto
egrep,egrep --colour=auto
grep,egrep --colour=auto
g,egrep --colour=auto
grep,egrep
G,| egrep
EG,|& egrep
egrep,egrep --color
grep,egrep --color
g,egrep --color
egrep,egrep --color=always
egrepc,egrep --color=always
grep,egrep --color=always
ldir,ls -al | egrep '^d'
ld,ls -hablLfF | egrep '^d'
ldi,ls -Fh $l | egrep '^d'
lf,ls -hablLfF | egrep -v '^d'
lfi,ls -Fh $l | egrep -v '^d'
lfile,ls | egrep -v '^d'
g,egrep -i
G,| egrep -i
igrep,egrep -i
l.,ls -A | egrep '^\.'
lsdot,ls -A --group-directories-first | egrep '^\.'
lsh,ls -a | egrep '^\.'
gclean,"git branch --merged | egrep -v ""(^\*|master|dev)"" | xargs git branch -d"
gitdelmerged,"git branch --merged | egrep -v ""(^\*|master|dev)"" | xargs git branch -d"
delete_merged_branches,"git branch --merged | egrep -v ""(^\*|master|dev)"" | xargs git branch -d"
d,docker
dk,docker
docker,sudo docker
di,docker images
dki,docker images
dim,docker images
dps,docker ps
dp,docker ps
dkps,docker ps
dpa,docker ps -a
dpsa,docker ps -a
dps,sudo docker ps -a
drmf,docker stop $(docker ps -a -q) && docker rm $(docker ps -a -q)
dockercleanc,"printf ""\n>>> Deleting stopped containers\n\n"" && docker rm $(docker ps -a -q)"
drm,docker rm $(docker ps -a -q)
drmf,docker stop $(docker ps -a -q) && docker rm $(docker ps -a -q)
dstop,docker stop $(docker ps -a -q)
docker-stop-all,docker stop $(docker ps -a -q)
drm,docker rm
dkrm,docker rm
dr,docker rm
drmi,docker rmi
dkrmi,docker rmi
dri,docker rmi
dl,docker ps -l -q
dklcid,docker ps -l -q
dkl,docker ps -l -q
de,docker exec -it
dex,docker exec -it
dexec,docker exec -it
fgrep,fgrep --color=auto
fgr,fgrep --color=auto
fg,fgrep --color=auto
fgrep,fgrep --colour=auto
fgrep,fgrep --color
fgrep-c,fgrep --color
rgrep,fgrep --color
fgrep,fgrep --color=always
f,fgrep --color=always
fgrepc,fgrep --color=always
fgrep,fgrep
FG,| fgrep
pss,ps aux | head -n1 ; ps aux | fgrep -v grep | fgrep
fgrep,fgrep -G
fgrep,fgrep --color=tty -d skip
fgrpe,fgrep --color=tty -d skip
fgrep,fgrep -i --color=auto
fgrep,fgrep $LS_OPTIONS
egrep,fgrep $LS_OPTIONS
fgrep,fgrep -n --color=auto
fgrepc,fgrep -n --color=auto
rm,rm -i
rmi,rm -i
del,rm -i
rmf,rm -rf
rm,rm -rf
rmrf,rm -rf
emptytrash,sudo rm -rfv /Volumes/*/.Trashes ; sudo rm -rfv ~/.Trash ; sudo rm -rfv /private/var/log/asl/*.asl
empty-trash,sudo rm -rfv /Volumes/*/.Trashes ; sudo rm -rfv $HOME/.Trash ;
trash,sudo rm -rfv /Volumes/*/.Trashes ; sudo grm -rfv $HOME/.Trash ; sudo rm -rfv /private/var/log/asl/*.asl ; sudo rm /private/var/vm/sleepimage
emptytrash,rm -rfv ~/.Trash
empty,sudo rm -rfv /Volumes/*/.Trashes ; rm -rfv ~/.Trash
empty-trash,sudo rm -rfv ~/.Trash
emptytrash,sudo rm -rfv /Volumes/*/.Trashes ; sudo rm -rfv ~/.Trash ; sudo rm -rfv /private/var/log/asl/*.asl
cleanup,brew cleanup ; rm -rf ~/.Trash ; sudo rm -rfv /private/var/log/asl/*.asl
empty,sudo rm -rfv ~/.Trash ; sudo rm -rfv /private/var/log/asl/*.asl
rm,rm -v
rmv,rm -v
surm,sudo rm -v
rm,rm -iv
del,"echo ""you should use the \""rm\"" command"" ; rm -iv"
rmi,rm -iv
rm,rm -I
rmi,rm -I
srm,rm -I
rm,rm -r
rmr,rm -r
rr,rm -r
rm,rm
del,rm
donotwant,rm
reload,source ~/.zshrc
sz,source ~/.zshrc
src,source ~/.zshrc
reload,source ~/.bashrc
sb,source ~/.bashrc
bashrc,source ~/.bashrc
reload,source ~/.bash_profile
sbp,source ~/.bash_profile
src,source ~/.bash_profile
so,source
.,source
s,source
venv,source venv/bin/activate
activate,source venv/bin/activate
sv,source venv/bin/activate
reload,source $HOME/.zshrc
reloadcli,source $HOME/.zshrc
sz,source $HOME/.zshrc
reload,source $HOME/.bashrc
sb,source $HOME/.bashrc
bashrc,vim $HOME/.bashrc && source $HOME/.bashrc
reload,source ~/.profile
sp,source ~/.profile
spr,source ~/.profile ; echo '~/.profile reloaded.'
activate,source env/bin/activate
act,source env/bin/activate
venv,source env/bin/activate
sa,"source ~/.bash_aliases ; echo ""Bash aliases sourced"""
aliases,sudo vim ~/.bash_aliases ; sudo sort ~/.bash_aliases -o ~/.bash_aliases ; unalias -a ; source ~/.bash_aliases
realias,source ~/.bash_aliases
tmux,tmux -2
t,tmux -2
tm,tmux -2
t,tmux attach || tmux
tm,tmux
tmux,tput reset ; tmux
tls,tmux ls
tl,tmux ls
tml,tmux ls
ta,tmux attach -t
tat,tmux attach -t
tma,tmux attach -t
ta,tmux attach
tma,tmux attach
tm,tmux attach
tk,tmux kill-session -t
tkill,tmux kill-session -t
tmk,tmux kill-session -t
tl,tmux list-sessions
tml,tmux list-sessions
tls,tmux list-sessions
tn,tmux new -s
tnew,tmux new -s
tmn,tmux new -s
ts,tmux new-session -s
tns,tmux new-session -s
tn,tmux new-session -s
tmux,tmux -u
t,tmux -u
tm,tmux -u attach -d || tmux -u
c,clear
cls,clear
cl,clear
clear,clear -x
c,clear -x
cd,clear -x ; cd
clc,clear all
cls,clear screen
c,clear all
yt,clear screen && bash && youtube-dl -f 18
rwf,cd /Volumes/Data/Documents/Programming ; clear ls -ltr
rwfcpp,cd /Volumes/Data/Documents/Programming/C++ ; clear ls -ltr
rwfpy,cd /Volumes/Data/Documents/Programming/Python ; clear ls -ltr
lsalias,clear : && alias -p
screenfetch,clear : ; screenfetch
c,clear clear
cc,clear clear
cl,clear ls
cls,clear ls
cls,clear sc
tailc,clear tail -n 20 current
cp,cp -i
cpi,cp -i
copy,cp -i
cp,cp -iv
cpi,cp -iv
scp,sudo cp -iv
cp,cp -v
cpv,cp -v
cv,cp -v
cp,cp
copy,cp
dowant,cp
cp,cp -r
cpr,cp -r
cpd,cp -r
cp,cp -vi
cpi,cp -vi
sucp,sudo cp -vi
cp,cp -R
cpr,cp -R
cpdir,cp -R
cp,cp -ip
copy,cp -ip
cp,cp -p
cp2,cp -p
cp,cp -rv
cr,cp -rv
cprv,cp -rv
vim,nvim
vi,nvim
v,nvim
vimdiff,nvim -d
nvimdiff,nvim -d
vd,nvim -d
zshconfig,nvim ~/.zshrc
zshrc,nvim ~/.zshrc
ez,nvim ~/.zshrc
vimrc,nvim ~/.config/nvim/init.vim
nvimrc,nvim ~/.config/nvim/init.vim
nvimconfig,nvim ~/.config/nvim/init.vim
vimrc,nvim ~/.vimrc
vimconfig,nvim ~/.vimrc
vrc,nvim ~/.vimrc
i3config,nvim ~/.config/i3/config
i3conf,nvim ~/.config/i3/config
i3c,nvim ~/.config/i3/config
vim,nvim -p
nvim,nvim -p
vi,nvim -p
tmuxconfig,nvim ~/.tmux.conf
et,nvim ~/.tmux.conf
tmuxconf,nvim ~/.tmux.conf
view,nvim -R
nview,nvim -R
vir,nvim -R
ohmyzsh,nvim ~/.oh-my-zsh
omz,nvim ~/.oh-my-zsh
omzs,nvim ~/.oh-my-zsh
o,open
op,open
start,open
o,open .
oo,open .
f,open .
f,open -a Finder ./
finder,open -a Finder ./
of,open -a Finder ./
subl,"open -a ""Sublime Text"""
s,"open -a ""Sublime Text"""
sublime,"open -a ""Sublime Text"""
chrome,"open -a ""Google Chrome"""
ch,"open -a ""Google Chrome"""
chr,"open -a ""Google Chrome"""
chrome,open -a Google Chrome
preview,open -a Preview
pre,open -a Preview
prev,open -a Preview
google-chrome,open -a Google Chrome
chr,open -a Google Chrome
mvim,open -a MacVim
gvim,open -a MacVim
macvim,open -a MacVim
f,open -a Finder
finder,open -a Finder
fnd,open -a Finder
chrome,open -a 'Google Chrome'
google-chrome,open -a 'Google Chrome'
og,open -a 'Google Chrome'
be,bundle exec
bx,bundle exec
b,bundle exec
bi,bundle install
b,bundle install
rbi,bundle install
b,bundle
bu,bundle
rbb,bundle
ber,bundle exec rake
rake,bundle exec rake
brake,bundle exec rake
bu,bundle update
rbbu,bundle update
rbu,bundle update
ber,bundle exec rspec
rspec,bundle exec rspec
rs,bundle exec rspec
migrate,bundle exec rake db:migrate
rdm,bundle exec rake db:migrate
rdbm,bundle exec rake db:migrate
rails,bundle exec rails
r,bundle exec rails
ber,bundle exec rails
rc,bundle exec rails console
berc,bundle exec rails console
sc,bundle exec rails console
rc,bundle exec rails c
berc,bundle exec rails c
c,bundle exec rails c
alert,"notify-send --urgency=low -i ""$([ $? = 0 ] && echo terminal || echo error)"" ""$(history|tail -n1|sed -e '\''s/^\s*[0-9]\+\s*//;s/[;&|]\s*alert$//'\'')"""
notify,"notify-send --urgency=low -i ""$([ $? = 0 ] && echo terminal || echo error)"" ""$(history|tail -n1|sed -e '\''s/^\s*[0-9]\+\s*//;s/[;&|]\s*alert$//'\'')"""
notify-alert,"notify-send --urgency=low -i ""$([ $? = 0 ] && echo terminal || echo error)"" ""$(history|tail -n1|sed -e '\''s/^\s*[0-9]\+\s*//;s/[;&|]\s*alert$//'\'')"""
ns,notify-send
notify,notify-send
n,notify-send
alert,"notify-send -i /usr/share/icons/gnome/32x32/apps/gnome-terminal.png ""[$?] $(alert_helper)"""
s,"notify-send -i /usr/share/icons/gnome/32x32/apps/gnome-terminal.png ""[$?] $(alert_helper)"" ; espeak -v en ""Task complete: $(alert_helper)"""
alert,"notify-send --urgency=critical -i ""$([ $? = 0 ] && echo terminal || echo error)"" ""$(history|tail -n1|sed -e '\''s/^\s*[0-9]\+\s*//;s/[;&|]\s*alert$//'\'')"""
emergency,"notify-send --urgency=critical -i ""$([ $? = 0 ] && echo terminal || echo error)"" ""$(history|tail -n1|sed -e '\''s/^\s*[0-9]\+\s*//;s/[;&|]\s*alert$//'\'')"""
myalert,"notify-send --urgency=critical -i ""$([ $? = 0 ] && echo terminal || echo error)"" ""$(history|tail -n1|sed -e '\''s/^\s*[0-9]\+\s*//;s/[;&|]\s*alert$//'\'')"""
upgr,notify-send -i ~/.scripts/larbs.png 'Upgrade started' & neofetch && yay -Syyuv --noconfirm && notify-send -i ~/.scripts/larbs.png 'Upgrade complete'.
upgr,notify-send -i ~/.scripts/larbs.png 'Upgrade started' & neofetch && yay -Syyuv --noconfirm && notify-send -i ~/.scripts/larbs.png 'Upgrade complete'.
alert,"notify-send --urgency=low -i ""$([ $? = 0 ] && echo terminal || echo error)"" ""$(history | tail -n1 | sed -e '\''s/^\s*[0-9]\+\s*//;s/[;&|]\s*alert$//'\'')"""
reckm,rm -r ./devel ./build && command catkin_make && notify-send catkin_make completed
reckmd,rm -r ./devel ./build && command catkin_make -DCMAKE_BUILD_TYPE=Debug && notify-send catkin_make completed
reckmr,rm -r ./devel ./build && command catkin_make -DCMAKE_BUILD_TYPE=Release && notify-send catkin_make completed
alert,notify-send --urgency=low
alert,"notify-send --urgency=low -i ""$([ $? = 0 ] && echo terminal || echo error)"" ""$(history|tail -n1|sed -e '\''s/^\s*[0-9]\+\s*//;s
/[;&|]\s*alert$//'\'')"""
L,| less
more,less
l,less
less,less -R
L,| less -R
ll,ls -alGh | less -R
less,less -r
gd,"git diff --color | sed ""s/^\([^-+ ]*\)[-+ ]/\\1/"" | less -r"
more,less -r
less,less -FSRXc
lless,less -FSRXc
m,less -FSRXc
less,less -S
LS,| less -S
ELS,|& less -S
apacheLogs,less +F /var/log/apache2/error_log
apachelogs,less +F /var/log/apache2/error_log
aplogs,less +F /var/log/apache2/error_log
less,less -N
lessn,less -N
nless,less -N
less,less -i
i,less -i
li,less -i
less,less -M
lv,less -M
more,less -M
less,less --quiet
gk,gitk --all &
es,"XMODIERS=""@im=none"" emacs 2>/dev/null &"
logs,find /var/log -type f -exec file {} \ ; | grep 'text' | cut -d' ' -f1 | sed -e's/:$//g' | grep -v '[0-9]$' | xargs tail -f
cleanup,find . -type f -name '*.DS_Store' -ls -delete
cleanupDS,find . -type f -name '*.DS_Store' -ls -delete
cleanupds,find . -type f -name '*.DS_Store' -ls -delete
qfind,find . -name
f,find . -name
fn,find . -name
f,find .
tree,pwd ; find . | sort | sed '1d;s/^\.//;s/\/\([^/]*\)$/|--\1/;s/\/[^/|]*/| /g'
ff,find . | grep
tree,find . -print | sed -e 's;[^/]*/;|____;g;s;____|; |;g'
tre,find . -print | sed -e 's;[^/]*/;|-- ;g;s;-- |;   |;g'
fpl,"find . -print | grep -v ""\.git"" | less"
filecount,find . -type f | wc -l
ff,find . -type f
count,find . -type f | wc -l
ff,find . -type f -name
ffil,find . -type f -name
findf,find . -type f -name
f,find . -iname
ff,find . -iname
fhere,find . -iname
cleanup,find . -name '*.DS_Store' -type f -ls -delete
dsstore,find . -name '*.DS_Store' -type f -ls -delete
cleanup_dsstore,find . -name '*.DS_Store' -type f -ls -delete
fd,find . -type d -name
fdir,find . -type d -name
findd,find . -type d -name
f,find
find,sudo find
ff,find | ack-grep -i -r
update,sudo pacman -Syu
pacupg,sudo pacman -Syu
pacup,sudo pacman -Syu
pacman,sudo pacman
p,pacman
pac,sudo pacman
pacin,sudo pacman -S
pac,sudo pacman -S
install,sudo pacman -S
pacs,pacman -Ss
pacreps,pacman -Ss
pacse,pacman -Ss
pacre,sudo pacman -R
pacr,sudo pacman -R
remove,sudo pacman -R
pacupd,pacman -Sy
pacupa,pacman -Sy && sudo abs
update,sudo pacman -Sy
update,sudo pacman -Syyu
upd,sudo pacman -Syyu
udpate,sudo pacman -Syyu
pacrep,pacman -Si
pacinfo,pacman -Si
paci,pacman -Si
pacrem,sudo pacman -Rns
pacr,sudo pacman -Rns
remove,sudo pacman -Rns
pacins,sudo pacman -U
pacinu,pacman -U
pacu,sudo pacman -U
update,sudo brew update && sudo brew upgrade
brewup,brew update && brew upgrade && brew cask update
brewu,brew update && brew upgrade && brew cleanup
update,sudo brew update && sudo brew upgrade
brewup,brew update && brew upgrade && brew cask update
brewu,brew update && brew upgrade && brew cleanup
update,sudo softwareupdate -i -a ; brew update ; brew upgrade ; brew cleanup ; npm install npm -g ; npm update -g ; sudo gem update --system ; sudo gem update
brewup,brew update ; brew upgrade ; brew prune ; brew cleanup ; brew doctor
brewu,brew update && brew upgrade && brew cleanup
brewup,brew update ; brew upgrade ; brew prune ; brew cleanup ; brew doctor
brewu,brew update && brew upgrade && brew cleanup && brew doctor
brewski,brew update && brew upgrade && brew cleanup ; brew doctor
bi,brew install
brewi,brew install
bin,brew install
bs,brew search
brews,brew search
bsr,brew search
brewup,brew update ; brew upgrade ; brew prune ; brew cleanup ; brew doctor
brewu,brew update && brew upgrade && brew cleanup && brew prune && brew doctor
brew_update,brew -v update ; brew upgrade --force-bottle --cleanup ; brew cleanup ; brew cask cleanup ; brew prune ; brew doctor ; npm-check -g -u
cask,brew cask
bout,brew outdated
bubo,brew update && brew outdated
refreshbrew,brew outdated | while read cask ; do brew upgrade $cask ; done
bc,brew cask
brc,brew cask
update,brew update ; brew upgrade --all ; brew cleanup ; cask-update ; cask-clean ; nvm install node --reinstall-packages-from=node ; nvm alias default node ; npm update -g ; sudo gem update --system ; sudo gem update ; upgrade_oh_my_zsh ; composer self-update ;
brewu,brew update && brew upgrade --all
bup,brew update && brew upgrade --all
hidedesktop,defaults write com.apple.finder CreateDesktop -bool false && killall Finder
showdesktop,defaults write com.apple.finder CreateDesktop -bool true && killall Finder
hide,defaults write com.apple.finder AppleShowAllFiles -bool false && killall Finder
flush,sudo dscacheutil -flushcache ; sudo killall -HUP mDNSResponder
flushdns,sudo killall -HUP mDNSResponder
dnsflush,dscacheutil -flushcache && killall -HUP mDNSResponder
showFiles,defaults write com.apple.finder AppleShowAllFiles YES ; killall Finder /System/Library/CoreServices/Finder.app
hideFiles,defaults write com.apple.finder AppleShowAllFiles NO ; killall Finder /System/Library/CoreServices/Finder.app
showfiles,defaults write com.apple.finder AppleShowAllFiles YES ; killall Finder /System/Library/CoreServices/Finder.app
ka,killall
nomnom,killall
k,killall
killdock,killall Dock
dockspace,"defaults write com.apple.dock persistent-apps -array-add '{\""tile-type\""=\""spacer-tile\"";}' ; killall Dock"
kd,killall Dock
ka9,killall -9
k9,killall -9
killz,killall -9
fixcam,sudo killall VDCAssistant
fixcamera,sudo killall VDCAssistant
camera,sudo killall VDCAssistant
kc,killall conky
killconky,killall conky
rconky,killall conky && conky
fixaudio,sudo killall coreaudiod
fix-audio,sudo killall coreaudiod
restart-audio,sudo killall coreaudiod
spoticon,sudo chmod 755 /System/Library/CoreServices/Search.bundle/Contents/MacOS/Search ; killall SystemUIServer
killui,killall SystemUIServer
spothide,sudo mv /System/Library/CoreServices/Search.bundle /System/Library/CoreServices/Search.bundle.bak && killall SystemUIServer
chromekill,ps ux | grep '[C]hrome Helper --type=renderer' | grep -v extension-process | tr -s ' ' | cut -d ' ' -f2 | xargs kill
killchrome,ps ux | grep '[C]hrome Helper --type=renderer' | grep -v extension-process | tr -s ' ' | cut -d ' ' -f2 | xargs kill
tmuxkillall,"tmux ls | grep : | cut -d. -f1 | awk '{print substr($1, 0, length($1)-1)}' | xargs kill"
map,xargs -n1
x1,xargs -n1
rubycheck,git status | xargs -n1 | grep .rb | xargs ruby -c
gdmb,"git branch --merged | grep -v ""\*"" | xargs -n 1 git branch -d"
gitclean,git branch --merged | grep -v '\*' | xargs -n 1 git branch -d
gclean,"git branch --merged master | grep -v ""\* master"" | xargs -n 1 git branch -d"
gclean,"git branch --merged | egrep -v ""(^\*|master|dev)"" | xargs git branch -d"
gbd,git branch --merged | grep -v '*' | xargs git branch -d
gbdm,"git branch --merged | egrep -v ""(^\*|master|staging)"" | xargs git branch -d && gbp"
X,| xargs
x,xargs
xargs,xargs
gbr,"git checkout master ; git pull origin master ; git fetch --all ; git branch | grep -v ""master"" | xargs git branch -D"
gclean,"git branch | grep -v ""^*"" | grep -v ""^master$"" | fzf -m | xargs git branch -D"
gbdall,git branch | grep -v 'master' | xargs git branch -D
grm,git status | grep deleted | awk '{print \$3}' | xargs git rm
gitrm,git ls-files -d | xargs git rm
grma,git status | grep deleted | awk '{print \$3}' | xargs git rm
drmi,docker images | grep none | awk '{print \$3}' | xargs docker rmi
dkrmui,docker images -q -f dangling=true | xargs docker rmi
docker-clean,docker ps -aqf status=exited | xargs docker rm && docker images -qf dangling=true | xargs docker rmi
drm,docker ps -a | grep Exited | cut -d ' ' -f 1 | xargs docker rm
docker-clean,docker ps -a | grep 'Exited\|Created' | cut -d ' ' -f 1 | xargs docker rm
drma,docker ps -aq | xargs docker rm
XG,| xargs grep
xg,xargs grep
f,find ~/.zsh_history -type f -print | xargs grep
py,python
p,python
py2,python
serve,python -m SimpleHTTPServer
server,python -m SimpleHTTPServer
http-serve,python -m SimpleHTTPServer
json,python -m json.tool | less
prettyjson,python -m json.tool
pp,python -m json.tool
urlencode,"python -c ""import sys, urllib as ul; print ul.quote_plus(sys.argv[1]);"""
encode,"python -c ""import sys, urllib as ul; print ul.quote_plus(sys.argv[1]);"""
urlen,"python -c ""import sys, urllib as ul; print ul.quote_plus(sys.argv[1]);"""
json,python -mjson.tool
pp,python -mjson.tool
pjson,python -mjson.tool
pm,python manage.py
dj,python manage.py
m,python manage.py
runserver,python manage.py runserver
pmr,python manage.py runserver
rs,clear ; python manage.py runserver
serve,python -m SimpleHTTPServer 8000
server,python -m SimpleHTTPServer 8000
www,python -m SimpleHTTPServer 8000
serve,python -m http.server
mkhttp,python -m http.server
httpserver,python -m http.server
migrate,python manage.py migrate
pmm,python manage.py migrate
m,python manage.py migrate
mv,mv -i
mvi,mv -i
move,mv -i
mv,mv -iv
mvi,mv -iv
move,mv -iv
mv,mv -v
mvv,mv -v
sumv,sudo mv -v
mv,mv
gtfo,mv
move,mv
mv,mv -vi
mvi,mv -vi
sumv,sudo mv -vi
mv,mv --interactive
mv,mv -f
mvf,mv -f
mv!,mv -f
mv,mv -i -v
cn,mv -i -v
mv,mv --interactive --verbose
mv,mv -v -i
psg,ps aux | grep
psgrep,ps aux | grep -v grep | grep
psa,ps aux
ps,ps auxf
psmem,ps auxf | sort -nr -k 4
pscpu,ps auxf | sort -nr -k 3
psg,ps -ef | grep
psef,ps -ef
p,ps -ef
chromekill,ps ux | grep '[C]hrome Helper --type=renderer' | grep -v extension-process | tr -s ' ' | cut -d ' ' -f2 | xargs kill
